"громкий","loud"
"по-другому","differently"
"жених","groom, fiancé"
"знакомый","familiar"
"я узнаю","I am finding out (impf)"
"ты узнаёшь","You are finding out (impf)"
"он узнаёт","He is finding out (impf)"
"мы узнаём","We are finding out (impf)"
"вы узнаёте","You (pl) are finding out (impf)"
"они узнают","They are finding out (impf)"
"я узнаю","I will find out (pf)"
"ты узнаешь","You will find out (pf)"
"он узнает","He will find out (pf)"
"мы узнаем","We will find out (pf)"
"вы узнаете","You (pl) will find out (pf)"
"они узнают","They will find out (pf)"
"искренний","sincere"
"неискренний","insincere"
"я изменяю","I am cheating on (impf)"
"ты изменяешь","You are cheating on (impf)"
"он изменяет","He is cheating on (impf)"
"мы изменяем","We are cheating on (impf)"
"вы изменяете","You (pl) are cheating on (impf)"
"они изменяют","They are cheating on (impf)"
"я изменю","I will cheat on (pf)"
"ты изменишь","You will cheat on (pf)"
"он изменит","He will cheat on (pf)"
"мы изменим","We will cheat on (pf)"
"вы измените","You (pl) will cheat on (pf)"
"они изменят","They will cheat on (pf)"
"я целую","I am kissing (impf)"
"ты целуешь","You are kissing (impf)"
"он целует","He is kissing (impf)"
"мы целуем","We are kissing (impf)"
"вы целуете","You (pl) are kissing (impf)"
"они целуют","They are kissing (impf)"
"я поцелую","I will kiss (pf)"
"ты поцелуешь","You will kiss (pf)"
"он поцелует","He will kiss (pf)"
"мы поцелуем","We will kiss (pf)"
"вы поцелуете","You (pl) will kiss (pf)"
"они поцелуют","They will kiss (pf)"
"я целуюсь","I am kissing (impf)"
"ты целуешься","You are kissing (impf)"
"он целуется","He is kissing (impf)"
"мы целуемся","We are kissing (impf)"
"вы целуетесь","You (pl) are kissing (impf)"
"они целуются","They are kissing (impf)"
"я поцелуюсь","I will kiss (pf)"
"ты поцелуешься","You will kiss (pf)"
"он поцелуется","He will kiss (pf)"
"мы поцелуемся","We will kiss (pf)"
"вы поцелуетесь","You (pl) will kiss (pf)"
"они поцелуются","They will kiss (pf)"
